//1:¥Ú,2:­¸¤M(­¸¤M§Þ¯à¥Î),
//4:¤âºj±M¥Î¼u,8:¨Bºj±M¥Î¼u,16:®gÀ»¤âºj±M¥Î¼u,
//32:®æªL¾÷ºj,64:ºh¼uµo®g¾¹±M¥Î¼u,128:¤âùØ¼C,256:
1750,Arrow,½b¥Ú,1
1751,Silver_Arrow,»È½b¥Ú,1
1752,Fire_Arrow,¤õ½b¥Ú,1
1753,Steel_Arrow,¿ûÅK½b¥Ú,1
1754,Crystal_Arrow,¤ôÆF½b¥Ú,1
1755,Arrow_of_Wind,­·ÆF½b¥Ú,1
1756,Stone_Arrow,¦aÆF½b¥Ú,1
1757,Immaterial_Arrow,µL§Î½b¥Ú,1
1758,Stun_Arrow,©ü°g½b¥Ú,1
1759,Freezing_Arrow,¦B­á½b¥Ú,1
1760,Flash_Arrow,¥ú¨~½b¥Ú,1
1761,Curse_Arrow,¶A©G½b¥Ú,1
1762,Rusty_Arrow,ÅKÄÃ½b¥Ú,1
1763,Poison_Arrow,¬r½b¥Ú,1
1764,Incisive_Arrow,¾U§Q½b¥Ú,1
1765,Oridecon_Arrow,¯«¤§ª÷ÄÝ½b¥Ú,1
1766,Arrow_of_Counter_Evil,¯}Å]½b¥Ú,1
1767,Arrow_of_Shadow,¼v¤l½b¥Ú,1
1768,Sleep_Arrow,ºÎ¯v½b¥Ú,1
1769,Silence_Arrow,¹çÀR½b¥Ú,1
1770,Iron_Arrow,ÅK½b¥Ú,1
1771,Venom_Knife,¬r²Gµu¤M,2
13200,Bullet,¤l¼u,124
13201,Silver_Bullet,»È¤l¼u,124
13202,Cell_of_Blood,¦å¤l¼u,124
13203,Flare_Sphere,¤õºh¼u,64
13204,Lightning_Sphere,­·ºh¼u,64
13205,Poison_Sphere,¬rºh¼u,64
13206,Blind_Sphere,·tª¼ºh¼u,64
13207,Freezing_Sphere,¦Bºh¼u,64
13250,Syuriken,¤âùØ¼C,128
13251,Raincloud_Shuriken,«B¶³¤âùØ¼C,128
13252,Flash_Shuriken,°{¥ú¤âùØ¼C,128
13253,Pointed_Leaf_Shuriken,¾U¸­¤âùØ¼C,128
13254,Piercing_Thorn_Shuriken,´Æ°w¤âùØ¼C,128
13255,Kunai_of_Frozen_Icicle,¦B¬Wªº­WµL,256
13256,Kunai_of_Black_Earth,¶Â¤gªº­WµL,256
13257,Kunai_of_Violent_Winds,¿E­·ªº­WµL,256
13258,Kunai_of_Fierce_Heat,»Å¼öªº­WµL,256
13259,Kunai_of_Deadly_Poison,²r¬rªº­WµL,256
