//item_bluebox.txt＠Athena 2006/05/26 20:20:21 (JST)
// 設定由神秘箱子所得到的道具。
// nameid, item_name(dummy), rate
// 道具的ID、道具的名字、確率(可以做*10000的物品。500000為50%1000000就是100%。)
// 道具的ID是0的場合確率道具選擇中失敗的時候就成功了（或得到某樣東西）默認道具的ID可以識別。(有複數場合只有最後的物有效。) ，默認道具的ID是0的場合道具選擇中失敗的時候就失敗（或得不到某樣東西）
0,鐵盾,2102
510,藍色藥草,50000
511,綠色藥草,100000
513,香蕉,90000
515,紅蘿蔔,100000
516,蕃薯,100000
517,肉,50000
518,蜂蜜,20000
519,牛奶,20000
520,西納雷葉子,20000
521,蘆薈葉子,20000
523,聖水,30000
525,萬能藥,20000
526,蜂膠,10000
528,魔物飼料,30000
529,糖果,20000
530,柺杖糖,20000
531,蘋果汁,30000
532,香蕉汁,30000
533,葡萄汁,30000
534,紅蘿蔔汁,30000
535,南瓜,50000
601,蒼蠅翅膀,100000
602,蝴蝶翅膀,100000
603,神秘箱子,400000
604,枯樹枝,10000
605,曼特療傷藥,20000
606,蘆薈汁液,20000
607,天地樹果實,10000
608,天地樹芽,10000
610,天地樹葉子,10000
611,放大鏡,100000
612,攜帶用熔礦爐,50000
613,鋼鐵錘子,30000
614,黃金錘子,20000
615,神之金屬錘子,10000
617,神秘紫箱,10000
645,集中藥水,10000
656,覺醒藥水,10000
657,菠色克藥水,10000
701,歐拉歐拉,10000
702,家畜血,10000
703,西納雷花,10000
704,蘆薈,10000
705,三葉幸運草,10000
706,四葉幸運草,10000
707,哀唱草,10000
708,曼特花,10000
710,幻想花,10000
711,芽苗,100000
712,花,100000
713,空瓶,100000
714,華麗金屬,10000
715,黃色魔力礦石,70000
716,紅色魔力礦石,70000
717,藍色魔力礦石,70000
718,深紅寶石,20000
719,紫寶石,20000
720,天藍寶石,20000
721,綠寶石,20000
722,珍珠,20000
723,紅寶石,20000
724,詛咒紅寶石,10000
725,大紅寶石,20000
726,藍寶石,20000
727,白寶石,20000
728,黃寶石,20000
729,青綠寶石,20000
730,1克拉鑽石,20000
731,2克拉鑽石,10000
733,受損的鑽石,10000
734,紅色相框,30000
735,藍色陶瓷器,30000
736,白色盤子,30000
737,黑色杓子,30000
738,筆筒,20000
740,瘋兔娃娃,10000
741,波利娃娃,10000
742,蒼蠅娃娃,10000
743,魔菇娃娃,10000
744,花束,100000
745,捧花,20000
746,玻璃珠,30000
747,水晶鏡子,10000
748,永恆玫瑰,10000
749,冰雕玫瑰,10000
752,搖滾蝗蟲娃娃,10000
753,溜溜猴娃娃,10000
754,狸貓娃娃,10000
756,神之金屬原石,10000
757,鋁原石,10000
901,辮子,20000
902,樹根,20000
903,爬蟲類舌頭,20000
904,蠍子尾巴,20000
905,植物梗,20000
906,鱗片梗,20000
907,枯木汁,20000
908,青蛙蛋,20000
909,傑勒比結晶,100000
910,加勒結晶,50000
911,雪勒結晶,30000
912,剎勒空結晶,20000
913,蝙蝠牙,20000
914,毛,20000
915,蛹殼,20000
916,羽毛,20000
917,鳥指甲,20000
918,粘糊的蹼,20000
919,動物外皮,20000
920,狼指甲,20000
921,香菇芽孢,20000
922,獸人犬齒,20000
923,惡魔角,10000
924,蝴蝶翅膀粉末,20000
925,鳥嘴,20000
926,蛇鱗,20000
928,昆蟲觸角,20000
929,不死心臟,20000
930,腐爛繃帶,20000
931,獸人戰士之證,20000
932,死人遺骨,20000
934,亡者遺物,10000
935,堅硬外殼,20000
936,鱗片皮膚,20000
937,毒牙,20000
938,粘稠液體,20000
939,蜂針,20000
940,蝗蟲後腿,20000
942,猴子尾巴,20000
943,堅硬外皮,10000
944,馬蹄,20000
945,變身葉子,20000
946,蝸牛殼,20000
947,硬角,20000
948,熊掌,20000
949,柔毛,20000
950,人魚之心,20000
951,背鰭,20000
952,仙人掌刺,20000
953,石心,20000
954,發亮鱗片,20000
955,昆蟲外殼,20000
956,鰓刺,20000
957,亡者指甲,20000
958,亡者牙齒,10000
959,腐爛鱗片,20000
960,鉗子,20000
961,海螺,20000
962,觸鬚,20000
963,銳利麟片,20000
968,獸人英雄之證,10000
969,黃金,10000
970,酒精,10000
971,帝特立米藥水,10000
972,卡勒波迪藥水,10000
973,中和劑,10000
974,混合劑,10000
975,紅色染料,10000
976,黃色染料,10000
978,藍色染料,10000
979,綠色染料,10000
980,赤色染料,10000
981,紫色染料,10000
982,白色染料,10000
983,黑色染料,10000
984,神之金屬,10000
985,鋁,10000
986,鐵砧,30000
987,神之金屬鐵砧,10000
988,黃金鐵砧,10000
989,華麗金屬鐵砧,10000
990,火靈礦石,30000
991,水靈礦石,30000
992,風靈礦石,30000
993,地靈礦石,30000
994,火靈原石,10000
995,水靈原石,10000
996,風靈原石,10000
997,土靈原石,10000
998,鐵,100000
999,鋼鐵,30000
1000,星星的角,30000
1001,星星的粉末,100000
1002,鐵礦石,200000
1003,煤礦,50000
1004,忠誠之證,10000
1005,高級鐵砧,10000
1006,古魔法書,10000
1007,慧眼,10000
1008,泯滅之心,10000
1009,神之手,10000
1010,強化武器金屬-級數一,200000
1011,強化武器金屬-級數二,50000
1012,傘蜥頸,20000
1013,彩色昆蟲外殼,20000
1014,螞蟻下巴,20000
1015,細長舌頭,10000
1016,鼠尾,20000
1017,鼠鬚,20000
1018,鼠指甲,20000
1019,瑪哪樹枝,20000
1020,長髮,20000
1021,土人之角,20000
1022,狐狸尾巴,20000
1023,魚尾,20000
1024,墨汁,20000
1025,蜘蛛絲,20000
1026,橡實,20000
1027,刺蝟尖刺,20000
1028,野豬毛,20000
1029,虎皮,10000
1030,虎掌,10000
1031,螳螂臂,20000
1032,噬人樹花,20000
1033,噬人樹根,20000
1034,哥布靈毛,20000
1035,龍牙,20000
1036,龍鱗,20000
1037,龍尾,20000
1038,小惡魔角,20000
1039,小惡魔翅膀,20000
1040,老妖精鬍鬚,20000
1041,手提燈,20000
1042,昆蟲後腳,20000
1043,獸人指甲,20000
1044,茲諾克之牙,20000
1045,聖殿士面具,20000
1046,蠍子之鉗,20000
1047,蛇女之首,20000
1048,蛇髮,20000
1049,韓服,10000
1050,血管,20000
1051,腦管,20000
1052,單細胞,20000
1053,人魚之牙,20000
1054,人魚嘴巴,20000
1055,蚯蚓皮,20000
1056,黃玉碎片,20000
1057,蛾蝶蟲翅膀粉末,20000
1058,蛾蝶翅膀,20000
1059,透明之布,20000
1060,金色頭髮,20000
1061,魔女之星沙,20000
1062,南瓜頭,20000
1063,銳利錐子,20000
1064,鞭繩,20000
1065,設置用陷阱道具,50000
1102,長劍,10000
1105,圓月刀,10000
1108,厚刃劍,10000
1111,擊刺長劍,10000
1114,彎刀,10000
1117,武士刀,40000
1120,日本刀,10000
1125,圓柄馬刀,10000
1127,騎兵之劍,10000
1128,海東劍,10000
1129,水紋之劍,10000
1152,雙手劍,30000
1155,亞爾特劍,20000
1158,雙手巨劍,10000
1162,雙手重劍,10000
1163,十字巨劍,10000
1202,短劍,10000
1205,卡特短劍,10000
1208,笨拙短劍,10000
1211,德克短劍,10000
1214,大駒短劍,10000
1217,雙刃短劍,10000
1220,長柄短劍,10000
1226,大馬士革短劍,10000
1239,巨毒短劍,10000
1251,拳刃,20000
1253,卡塔勒拳刃,10000
1255,秘刃_闇嘯,10000
1302,斧,10000
1352,巨斧,20000
1355,鋼斧,20000
1358,毀滅之斧,10000
1361,雙手斧,10000
1402,長戟,10000
1405,長矛,10000
1408,步兵長矛,10000
1410,騎士長矛,10000
1452,彎刃長矛,10000
1455,長槍,10000
1458,雙刃長戟,10000
1461,德瑞尹長戟,10000
1464,斧錘長矛,10000
1502,木錘,10000
1505,鐵錘,10000
1508,思麥斯鐵錘,10000
1511,流星錘,10000
1514,日星錘,10000
1517,尖刃鐵錘,10000
1520,鏈錘,10000
1522,昏迷之錘,10000
1550,書,10000
1551,聖言之書,10000
1558,日記本,10000
1608,智慧魔杖,10000
1611,言靈魔杖,10000
1613,巫杖_魂咬,10000
1615,骷髏魔杖,10000
1714,角弓,10000
1718,獵人之弓,10000
1719,盜賊之弓,10000
1750,箭矢,10000
1751,銀箭矢,10000
1752,火箭矢,10000
1753,鋼鐵箭矢,10000
1754,水靈箭矢,10000
1755,風靈箭矢,10000
1756,地靈箭矢,10000
1757,無形箭矢,10000
1758,昏迷箭矢,10000
1759,冰凍箭矢,10000
1760,光芒箭矢,10000
1761,詛咒箭矢,10000
1762,鐵鏽箭矢,10000
1763,毒箭矢,10000
1764,銳利箭矢,10000
1765,神之金屬箭矢,10000
1767,影子箭矢,10000
1768,睡眠箭矢,10000
1769,寧靜箭矢,10000
1770,鐵箭矢,10000
1806,賀勒拳套,10000
1810,龍爪拳套,10000
1901,小提琴,10000
1904,曼陀林,10000
1905,魯特琴,10000
1907,吉他,10000
1910,豎琴,10000
1951,鞭子,10000
1953,細長鞭子,10000
1955,鋼鐵鞭子,10000
1957,流星鞭子,10000
1959,幸運鞭子,10000
2102,鐵盾,40000
2104,圓盾,20000
2106,鋼盾,10000
2108,鏡盾,10000
2205,泳鏡,30000
2206,婚禮頭紗,10000
2207,花朵頭飾,10000
2209,紫蝶髮帶,40000
2210,髮箍,10000
2211,方頭巾,10000
2212,獨眼龍眼罩,40000
2213,貓耳髮圈,10000
2215,花髮圈,10000
2217,聖職之帽,10000
