//diamond_armor.txt＠Athena 2005/9/7 19:00:00 (JST)
// 從設立被得到的道具。
// nameid, item_name(dummy), rate
// 道具的ID、道具的名字、確率(可以做*10000的物品。500000為50%1000000就是100%。)
// 道具的ID是0的場合確率道具選擇中失敗的時候就成功了（或得到某樣東西）默認道具的ID可以識別。(有複數場合只有最後的物有效。) ，默認道具的ID是0的場合道具選擇中失敗的時候就失敗（或得不到某樣東西） 
0,短劍,1201
1201,短劍,600000
1101,長劍,500000
1107,厚刃劍,500000
1116,武士刀,500000
1301,斧,500000
1607,智慧魔杖,500000
1601,手杖,500000
1701,弓,500000
1250,拳刃,500000
//稀有
1108,厚刃劍,50000
1127,騎兵之劍,20000
1128,海東劍,20000
1155,亞爾特劍,20000
1163,十字巨劍,50000
1208,笨拙短劍,50000
1220,長柄短劍,20000
1222,大馬士革短劍,20000
1256,冰靈拳刃,20000
1257,刺藤拳刃,20000
1258,火靈拳刃,20000
1259,風靈拳刃,20000
1260,骸靈拳刃,20000
1261,刺殺拳刃,20000
1361,雙手斧,20000
1408,步兵長矛,50000
1452,彎刃長矛,50000
1461,德瑞尹長戟,20000
1504,鐵錘,100000
1520,鏈錘,20000
1522,昏迷之錘,100000
1550,書,50000
1551,聖言之書,20000
1552,智慧石碑,20000
1553,水靈之書,20000
1554,地靈之書,20000
1555,火靈之書,20000
1556,風靈之書,20000
1605,橡木魔杖,100000
1608,智慧魔杖,20000
1711,十字弓,20000
1715,亞伯雷弓,20000
1716,角弓,20000
1802,虎爪拳套,20000
1804,鋼鐵拳套,20000
1806,賀勒拳套,20000
1808,昇龍拳套,20000
1951,鞭子,20000
1953,細長鞭子,20000
1955,鋼鐵鞭子,20000
1957,流星鞭子,20000
1959,幸運鞭子,20000
1902,小提琴,20000
1906,魯特琴,20000
1908,吉他,20000
1910,豎琴,20000
1912,焚鶴琴,20000
1529,高爾夫球桿,1000
