// 設定由禮物箱所得到的道具。
// nameid, item_name(dummy), rate
// 道具的ID、道具的名字(dummy)、確率(可以做*10000的物品。500000為50%1000000就是100%。)
// 道具的ID是0的場合確率道具選擇中失敗的時候就成功了（或得到某樣東西）默認道具的ID可以識別。(有複數場合只有最後的物有效。) ，默認道具的ID是0的場合道具選擇中失敗的時候就失敗（或得不到某樣東西）
0,神之金屬原石,756
756,神之金屬原石,50000
757,鋁原石,20000
984,神之金屬,20000
985,鋁,10000
714,華麗金屬,10000
999,鋼鐵,10000
1000,星星的角,10000
994,火靈原石,10000
995,水靈原石,10000
996,風靈原石,10000
997,土靈原石,10000
975,紅色染料,10000
976,黃色染料,10000
978,藍色染料,10000
979,綠色染料,10000
980,赤色染料,10000
981,紫色染料,10000
982,白色染料,10000
983,黑色染料,10000
969,黃金,10000
718,深紅寶石,10000
719,紫寶石,10000
720,天藍寶石,10000
721,綠寶石,10000
722,珍珠,10000
723,紅寶石,10000
724,詛咒紅寶石,10000
725,大紅寶石,10000
726,藍寶石,10000
727,白寶石,10000
728,黃寶石,10000
729,青綠寶石,10000
730,1克拉鑽石,10000
731,2克拉鑽石,10000
732,3克拉鑽石,10000
733,受損的鑽石,10000
734,紅色相框,10000
735,藍色陶瓷器,10000
736,白色盤子,10000
737,黑色杓子,10000
738,筆筒,10000
739,化妝品,10000
740,瘋兔娃娃,10000
741,波利娃娃,10000
742,蒼蠅娃娃,10000
743,魔菇娃娃,10000
744,花束,10000
745,捧花,10000
746,玻璃珠,10000
747,水晶鏡子,10000
748,永恆玫瑰,10000
749,冰雕玫瑰,10000
750,巴風特娃娃,10000
751,俄塞里斯娃娃,10000
752,搖滾蝗蟲娃娃,10000
753,溜溜猴娃娃,10000
754,狸貓娃娃,10000
706,四葉幸運草,10000
4005,聖誕波利卡片,10000
7034,破洞聖誕襪,10000
501,紅色藥水,10000
502,赤色藥水,10000
503,黃色藥水,10000
504,白色藥水,10000
505,藍色藥水,10000
506,綠色藥水,10000
526,蜂膠,10000
529,糖果,10000
530,柺杖糖,10000
537,寵物飼料,10000
538,薑餅,10000
539,小蛋糕,10000
603,神秘箱子,10000
617,神秘紫箱,10000
644,禮物箱,190000
