// 道具出售價格，優先於item_db.txt的設定
// ID,Name,Jname,Price,Sell,Not_DC,Not_OC
501,Red_Potion,紅色藥水,50,,,
502,Orange_Potion,赤色藥水,200,,,
503,Yellow_Potion,黃色藥水,550,,,
504,White_Potion,白色藥水,1200,,,
505,Blue_Potion,藍色藥水,5000,,,
506,Green_Potion,綠色藥水,40,,,
507,Red_Herb,紅色藥草,18,,,
508,Yellow_Herb,黃色藥草,40,,,
509,White_Herb,白色藥草,120,,,
510,Blue_Herb,藍色藥草,60,,,
511,Green_Herb,綠色藥草,10,,,
512,Apple,蘋果,15,,,
513,Banana,香蕉,15,,,
514,Grape,葡萄,200,,,
515,Carrot,紅蘿蔔,15,,,
516,Sweet_Potato,蕃薯,15,,,
517,Meat,肉,55,,,
518,Honey,蜂蜜,500,,,
519,Milk,牛奶,25,,,
520,Leaflet_of_Hinal,西納雷葉子,150,,,
521,Leaflet_of_Aloe,蘆薈葉子,360,,,
522,Fruit_of_Mastela,瑪絲黛拉果實,840,,,
523,Holy_Water,聖水,20,,,
525,Panacea,萬能藥,500,,,
526,Royal_Jelly,蜂膠,7000,,,
528,Monster's_Feed,魔物飼料,60,,,
529,Candy,糖果,10,,,
530,Candy_Striper,柺杖糖,20,,,
531,Apple_Juice,蘋果汁,20,,,
532,Banana_Juice,香蕉汁,20,,,
533,Grape_Juice,葡萄汁,250,,,
534,Carrot_Juice,紅蘿蔔汁,20,,,
535,Pumpkin,南瓜,15,,,
536,Ice_Cream,霜淇淋,150,,,
537,Pet_Food,寵物飼料,2500,,,
538,Well_Baked_Cookie,薑餅,1000,,,
539,Piece_of_Cake,小蛋糕,3000,,,
540,Falcon_food,獵鷹飼料,,,,
541,Pecopeco_food,大嘴鳥飼料,,,,
542,Festive_Cookie,"Festive Cookie",,,,
543,Festive_Rainbow_Cake,"Festive Rainbow Cake",,,,
544,Fish_Slice,生魚片,,,,
545,,紅色纖細藥水,,,,
546,,黃色纖細藥水,,,,
547,,白色纖細藥水,,,,
548,,起士,,,,
549,,美味蕃薯,,,,
550,,仙貝,,,,
551,,明蝦壽司,,,,
601,Fly_Wing,蒼蠅翅膀,100,,,
602,Butterfly_Wing,蝴蝶翅膀,500,,,
603,Old_Blue_Box,神秘箱子,2,,,
604,Dead_Branch,枯樹枝,2,,,
605,Anodyne,曼特療傷藥,1000,,,
606,Aloevera,蘆薈汁液,2,,,
607,Yggdrasilberry,天地樹果實,2,,,
608,Yggdrasil_Seed,天地樹芽,2,,,
609,Amulet,返魂符,100,,,
610,Yggdrasil_Leaf,天地樹葉子,2000,,,
611,Magnifier,放大鏡,40,,,
612,Mini_Furnace,攜帶用熔礦爐,150,,,
613,Iron_Hammer,鋼鐵錘子,1000,,,
614,Golden_Hammer,黃金錘子,3000,,,
615,Oridecon_Hammer,神之金屬錘子,5000,,,
616,Old_Card_Album,老舊收集冊,2,,,
617,Old_Purple_Box,神秘紫箱,2,,,
618,Worn_Out_Scroll,老舊卷軸,2,,,
619,Unripe_Apple,青蘋果,1000,,,
620,Orange_Juice,濃縮柳橙汁,1500,,,
621,Bitter_Herb,苦味草,20,,,
622,Rainbow_Carrot,彩色紅蘿蔔,2500,,,
623,Earthworm_the_Dude,變態蚯蚓,4000,,,
624,Rotten_Fish,腐臭之魚,2500,,,
625,Rusty_Iron,鏽鐵,100,,,
626,Monster_Juice,魔物飲料,1500,,,
627,Sweet_Milk,魔物牛奶,7000,,,
628,Well-Dried_Bone,營養大骨,10000,,,
629,Singing_Flower,呢喃花,300,,,
630,Dew_Laden_Moss,青苔,10,,,
631,Deadly_Noxious_Herb,青嫩毒草,20,,,
632,Fatty_Chubby_Earthworm,營養蚯蚓,5000,,,
633,Baked_Yam,魔物番薯,20,,,
634,Tropical_Banana,魔物香蕉,20,,,
635,Horror_of_Tribe,魔物之證,300,,,
636,No_Recipient,魔物信件,100,,,
637,Old_Broom,魔物掃把,350,,,
638,Silver_Knife_of_Chastity,純潔銀刃,12000,,,
639,Armlet_of_Obedience,馴服手鐲,18000,,,
640,Shining_Stone,閃爍之石,3000,,,
641,Contracts_in_Shadow,黑暗合約書,100,,,
642,Book_of_Devil,惡魔召喚書,1800,,,
643,Pet_Incubator,攜帶用孵蛋器,3000,,,
644,Gift_Box,禮物箱,2,,,
645,Concentration_Potion,集中藥水,1000,,,
656,Awakening_Potion,覺醒藥水,1000,,,
657,Berserk_Potion,菠色克藥水,1000,,,
658,Tribal_Solidarity,組織的團結力,1000,,,
659,Her_Heart,心愛女人之回憶,50,,,
660,,紅色蠟燭,,,,
661,,搖曳的圍裙,,,,
663,,年糕,,,,
701,Ora_Ora,歐拉歐拉,1000,,,
702,Animal_Gore,家畜血,2,,,
703,Hinalle,西納雷花,2,,,
704,Aloe,蘆薈,2,,,
705,Clover,三葉幸運草,10,,,
706,Four_Leaf_Clover,四葉幸運草,2,,,
707,Singing_Plant,哀唱草,2,,,
708,Ment,曼特花,2,,,
709,Izidor,迷幻藥,2,,,
710,Illusion_Flower,幻想花,2,,,
711,Shoot,芽苗,2,,,
712,Flower,花,2,,,
713,Empty_Bottle,空瓶,5,,,
714,Emperium,華麗金屬,2,,,
715,Yellow_Gemstone,黃色魔力礦石,600,,,
716,Red_Gemstone,紅色魔力礦石,700,,,
717,Blue_Gemstone,藍色魔力礦石,600,,,
718,Garnet,深紅寶石,5000,,,
719,Amethyst,紫寶石,5000,,,
720,Aquamarine,天藍寶石,5000,,,
721,Emerald,綠寶石,5000,,,
722,Pearl,珍珠,5000,,,
723,Ruby,紅寶石,5000,,,
724,Cursed_Ruby,詛咒紅寶石,500,,,
725,Sardonyx,大紅寶石,5000,,,
726,Sapphire,藍寶石,5000,,,
727,Opal,白寶石,5000,,,
728,Topaz,黃寶石,5000,,,
729,Zircon,青綠寶石,5000,,,
730,1carat_Diamond,1克拉鑽石,10000,,,
731,2carat_Diamond,2克拉鑽石,25000,,,
732,3carat_Diamond,3克拉鑽石,55000,,,
733,Cracked_Diamond,受損的鑽石,10,,,
734,Red_Frame,紅色相框,3000,,,
735,Chung_Jah,藍色陶瓷器,5000,,,
736,China,白色盤子,1000,,,
737,Black_Ladle,黑色杓子,500,,,
738,Pencil_Case,筆筒,300,,,
739,Rouge,化妝品,10000,,,
740,Puppet,瘋兔娃娃,3000,,,
741,Poring_Doll,波利娃娃,1000,,,
742,Chonchon_Doll,蒼蠅娃娃,1800,,,
743,Spore_Doll,魔菇娃娃,5000,,,
744,Bouquet,花束,2000,,,
745,Wedding_Bouquet,捧花,10000,,,
746,Glass_Bead,玻璃珠,1500,,,
747,Crystal_Mirror,水晶鏡子,30000,,,
748,Witherless_Rose,永恆玫瑰,50000,,,
749,Frozen_Rose,冰雕玫瑰,35000,,,
750,Baphomet_Doll,巴風特娃娃,6000,,,
751,Osiris_Doll,俄塞里斯娃娃,6000,,,
752,Rocker_Doll,搖滾蝗蟲娃娃,4000,,,
753,Yoyo_Doll,溜溜猴娃娃,7000,,,
754,Racoon_Doll,狸貓娃娃,7000,,,
756,Rough_Oridecon,神之金屬原石,2,,,
757,Rough_Elunium,鋁原石,2,,,
901,Daenggie,辮子,250,,,
902,Tree_Root,樹根,12,,,
903,Reptile_Tongue,爬蟲類舌頭,50,,,
904,Scorpion_Tail,蠍子尾巴,168,,,
905,Stem,植物梗,58,,,
906,Pointed_Scale,鱗片梗,70,,,
907,Resin,枯木汁,128,,,
908,Spawn,青蛙蛋,148,,,
909,Jellopy,傑勒比結晶,6,,,
910,Garlet,加勒結晶,40,,,
911,Scell,雪勒結晶,160,,,
912,Zargon,剎勒空結晶,500,,,
913,Tooth_of_Bat,蝙蝠牙,32,,,
914,Fluff,毛,8,,,
915,Chrysalis,蛹殼,8,,,
916,Feather_of_Birds,羽毛,10,,,
917,Talon,鳥指甲,20,,,
918,Sticky_Webfoot,粘糊的蹼,20,,,
919,Animal_Skin,動物外皮,36,,,
920,Wolf_Claw,狼指甲,58,,,
921,Mushroom_Spore,香菇芽孢,36,,,
922,Orc's_Fang,獸人犬齒,220,,,
923,Evil_Horn,惡魔角,1020,,,
924,Powder_of_Butterfly,蝴蝶翅膀粉末,90,,,
925,Bill_of_Birds,鳥嘴,64,,,
926,Snake_Scale,蛇鱗,82,,,
928,Insect_Feeler,昆蟲觸角,114,,,
929,Immortal_Heart,不死心臟,374,,,
930,Rotten_Bandage,腐爛繃帶,358,,,
931,Orcish_Voucher,獸人戰士之證,168,,,
932,Skel-Bone,死人遺骨,232,,,
934,Memento,亡者遺物,300,,,
935,Shell,堅硬外殼,12,,,
936,Scale_Shell,鱗片皮膚,466,,,
937,Venom_Canine,毒牙,158,,,
938,Sticky_Muscus,粘稠液體,70,,,
939,Bee_Sting,蜂針,32,,,
940,Grasshopper's_Leg,蝗蟲後腿,36,,,
941,Nose_Ring,牛鼻環,568,,,
942,Yoyo_Tail,猴子尾巴,114,,,
943,Solid_Shell,堅硬外皮,448,,,
944,Horseshoe,馬蹄,588,,,
945,Raccoon_Leaf,變身葉子,106,,,
946,Snail's_Shell,蝸牛殼,64,,,
947,Horn,硬角,106,,,
948,Bear's_Footskin,熊掌,184,,,
949,Feather,柔毛,20,,,
950,Heart_of_Mermaid,人魚之心,264,,,
951,Fin,背鰭,412,,,
952,Cactus_Needle,仙人掌刺,82,,,
953,Stone_Heart,石心,184,,,
954,Shining_Scale,發亮鱗片,466,,,
955,Worm_Peeling,昆蟲外殼,52,,,
956,Gill,鰓刺,342,,,
957,Decayed_Nail,亡者指甲,82,,,
958,Horrendous_Mouth,亡者牙齒,390,,,
959,Stinky_Scale,腐爛鱗片,168,,,
960,Nipper,鉗子,114,,,
961,Conch,海螺,158,,,
962,Tentacle,觸鬚,70,,,
963,Sharp_scale,銳利麟片,250,,,
964,Crab_Shell,螃蟹外殼,90,,,
965,Clam_Shell,蛤蜊外殼,2,,,
966,Clam_Flesh,蛤蜊肉,2,,,
967,Turtle_Shell,烏龜外殼,2,,,
968,Heroic_Emblem,獸人英雄之證,3000,,,
969,Gold,黃金,10000,,,
970,Alchol,酒精,100,,,
971,Detrimindexta,帝特立米藥水,100,,,
972,Karvodailnirol,卡勒波迪藥水,100,,,
973,Counteragent,中和劑,200,,,
974,Mixture,混合劑,200,,,
975,Scarlet_Dyestuffs,紅色染料,1000,,,
976,Lemon_Dyestuffs,黃色染料,1000,,,
978,Cobaltblue_Dyestuffs,藍色染料,1000,,,
979,Darkgreen_Dyestuffs,綠色染料,1000,,,
980,Orange_Dyestuffs,赤色染料,1000,,,
981,Violet_Dyestuffs,紫色染料,1000,,,
982,White_Dyestuffs,白色染料,1000,,,
983,Black_Dyestuffs,黑色染料,1000,,,
984,Oridecon,神之金屬,5,,,
985,Elunium,鋁,5,,,
986,Anvil,鐵砧,30000,,,
987,Oridecon_Anvil,神之金屬鐵砧,120000,,,
988,Golden_Anvil,黃金鐵砧,300000,,,
989,Emperium_Anvil,華麗金屬鐵砧,2,,,
990,Red_Blood,火靈礦石,1000,,,
991,Crystal_Blue,水靈礦石,1000,,,
992,Wind_of_Verdure,風靈礦石,1000,,,
993,Green_Live,地靈礦石,1000,,,
994,Flame_Heart,火靈原石,3000,,,
995,Mystic_Frozen,水靈原石,3000,,,
996,Rough_Wind,風靈原石,3000,,,
