//item_violetbox.txt＠Athena 2006/05/26 20:20:25 (JST)
// 設定由神秘紫箱所得到的道具
// nameid, item_name(dummy), rate
// 道具的ID、道具的名字(dummy)、確率(可以做*10000的物品。500000為50%1000000就是100%。)
// 道具的ID是0的場合確率道具選擇中失敗的時候就成功了（或得到某樣東西）默認道具的ID可以識別。(有複數場合只有最後的物有效。) ，默認道具的ID是0的場合道具選擇中失敗的時候就失敗（或得不到某樣東西）
0,鐵盾,2102
607,天地樹果實,10000
702,家畜血,10000
703,西納雷花,10000
704,蘆薈,10000
706,四葉幸運草,10000
707,哀唱草,10000
708,曼特花,10000
710,幻想花,10000
714,華麗金屬,10000
716,紅色魔力礦石,10000
717,藍色魔力礦石,10000
718,深紅寶石,10000
719,紫寶石,10000
720,天藍寶石,10000
721,綠寶石,10000
722,珍珠,10000
723,紅寶石,10000
724,詛咒紅寶石,10000
725,大紅寶石,10000
726,藍寶石,10000
727,白寶石,10000
728,黃寶石,10000
729,青綠寶石,10000
730,1克拉鑽石,10000
731,2克拉鑽石,10000
732,3克拉鑽石,10000
733,受損的鑽石,10000
734,紅色相框,10000
735,藍色陶瓷器,10000
736,白色盤子,10000
737,黑色杓子,10000
738,筆筒,10000
740,瘋兔娃娃,10000
741,波利娃娃,10000
742,蒼蠅娃娃,10000
743,魔菇娃娃,10000
745,捧花,10000
747,水晶鏡子,10000
748,永恆玫瑰,10000
749,冰雕玫瑰,10000
752,搖滾蝗蟲娃娃,10000
753,溜溜猴娃娃,10000
754,狸貓娃娃,10000
756,神之金屬原石,10000
757,鋁原石,10000
909,傑勒比結晶,10000
910,加勒結晶,10000
911,雪勒結晶,10000
912,剎勒空結晶,10000
931,獸人戰士之證,10000
968,獸人英雄之證,10000
969,黃金,10000
970,酒精,10000
971,帝特立米藥水,10000
972,卡勒波迪藥水,10000
973,中和劑,10000
974,混合劑,10000
975,紅色染料,10000
976,黃色染料,10000
978,藍色染料,10000
979,綠色染料,10000
980,赤色染料,10000
981,紫色染料,10000
982,白色染料,10000
983,黑色染料,10000
984,神之金屬,10000
985,鋁,10000
986,鐵砧,10000
987,神之金屬鐵砧,10000
988,黃金鐵砧,10000
989,華麗金屬鐵砧,10000
991,水靈礦石,10000
992,風靈礦石,10000
993,地靈礦石,10000
994,火靈原石,10000
995,水靈原石,10000
996,風靈原石,10000
997,土靈原石,10000
998,鐵,10000
999,鋼鐵,10000
1000,星星的角,10000
1001,星星的粉末,10000
1002,鐵礦石,10000
1003,煤礦,10000
1004,忠誠之證,10000
1005,高級鐵砧,10000
1006,古魔法書,10000
1007,慧眼,10000
1008,泯滅之心,10000
1009,神之手,10000
1010,強化武器金屬-級數一,10000
1011,強化武器金屬-級數二,10000
1102,長劍,10000
1105,圓月刀,10000
1108,厚刃劍,10000
1111,擊刺長劍,10000
1114,彎刀,10000
1117,武士刀,10000
1120,日本刀,10000
1125,圓柄馬刀,10000
1127,騎兵之劍,10000
1128,海東劍,10000
1129,水紋之劍,10000
1152,雙手劍,10000
1155,亞爾特劍,10000
1158,雙手巨劍,10000
1162,雙手重劍,10000
1163,十字巨劍,10000
1164,名刀_不知火,10000
1202,短劍,10000
1205,卡特短劍,10000
1208,笨拙短劍,10000
1211,德克短劍,10000
1214,大駒短劍,10000
1217,雙刃短劍,10000
1220,長柄短劍,10000
1226,大馬士革短劍,10000
1237,魔短劍_闇噬,10000
1239,巨毒短劍,10000
1251,拳刃,10000
1253,卡塔勒拳刃,10000
1255,秘刃_闇嘯,10000
1261,刺殺拳刃,10000
1302,斧,10000
1306,血腥戰斧,10000
1352,巨斧,10000
1355,鋼斧,10000
1358,毀滅之斧,10000
1361,雙手斧,10000
1402,長戟,10000
1405,長矛,10000
1408,步兵長矛,10000
1410,騎士長矛,10000
1452,彎刃長矛,10000
1455,長槍,10000
1458,雙刃長戟,10000
1461,德瑞尹長戟,10000
1464,斧錘長矛,10000
1502,木錘,10000
1505,鐵錘,10000
1508,思麥斯鐵錘,10000
1511,流星錘,10000
1514,日星錘,10000
1517,尖刃鐵錘,10000
1520,鏈錘,10000
1522,昏迷之錘,10000
1550,書,10000
1551,聖言之書,10000
1558,日記本,10000
1602,手杖,10000
1605,橡木魔杖,10000
1608,智慧魔杖,10000
1611,言靈魔杖,10000
1613,巫杖_魂咬,10000
1702,弓,10000
1705,坎普茲弓,10000
1711,十字弓,10000
1713,亞伯雷弓,10000
1714,角弓,10000
1718,獵人之弓,10000
1719,盜賊之弓,10000
1721,十字機弩,10000
1750,箭矢,10000
1751,銀箭矢,10000
1752,火箭矢,10000
1753,鋼鐵箭矢,10000
1754,水靈箭矢,10000
1755,風靈箭矢,10000
1756,地靈箭矢,10000
1757,無形箭矢,10000
1758,昏迷箭矢,10000
1759,冰凍箭矢,10000
1760,光芒箭矢,10000
1761,詛咒箭矢,10000
1762,鐵鏽箭矢,10000
1763,毒箭矢,10000
1764,銳利箭矢,10000
1765,神之金屬箭矢,10000
1767,影子箭矢,10000
1768,睡眠箭矢,10000
1769,寧靜箭矢,10000
1770,鐵箭矢,10000
1806,賀勒拳套,10000
1810,龍爪拳套,10000
1901,小提琴,10000
1904,曼陀林,10000
1905,魯特琴,10000
1907,吉他,10000
1910,豎琴,10000
