// MobID,Name,JName,ItemID,EggID,AcceID,FoodID,Fullness,HungryDeray ,R_Hungry,R_Full,Intimate,Die,Capture,Speed,S_Performance,talk_convert_class,attack_rate,defence_attack_rate,change_target_rate,pet_script
// 魔物ID,英文名稱,中文名稱,抓捕ID,蛋ID,物品ID,食物ID,飽食度,飢餓度延遲,飢餓度,飽食度,親密度,死亡,捕捉成功率,速度,表演,語言,攻擊率,防禦率,變換目標率,寵物腳本
1002,PORING,波利,619,9001,10013,531,80,20,50,100,250,20,2000,400,1,0,100,100,100,{}
1011,CHONCHON,蒼蠅,624,9006,10002,537,80,10,30,100,250,20,1500,200,1,0,100,100,100,{}
1014,SPORE,魔菇,630,9012,10017,537,80,20,30,100,250,20,1500,200,0,0,100,100,100,{}
1019,PECOPECO,大嘴鳥,632,9014,10010,537,80,15,30,100,250,20,1000,200,1,0,100,100,100,{}
1023,ORC_WARRIOR,獸人戰士,635,9017,10009,537,80,12,20,100,250,20,500,200,1,0,100,100,100,{}
1026,MUNAK,殭屍,636,9018,10008,537,80,20,20,100,250,20,500,200,0,0,100,100,100,{}
1029,ISIS,蛇女伊絲,639,9021,10006,537,80,20,10,100,250,20,500,200,0,0,100,100,100,{}
1031,POPORING,波波利,621,9003,10013,511,80,12,30,100,250,20,1000,300,1,0,100,100,100,{}
1035,HUNTER_FLY,赤蒼蠅,626,9008,10002,716,80,12,10,100,250,20,500,150,1,0,100,100,100,{}
1042,STEEL_CHONCHON,綠蒼蠅,625,9007,10002,1002,80,12,20,100,250,20,1000,150,1,0,100,100,100,{}
1049,PICKY,小雞,623,9005,10012,507,80,15,40,100,250,20,2000,200,1,0,100,100,100,{}
1052,ROCKER,蝗蟲,629,9011,10014,537,80,60,30,100,250,20,1500,200,0,0,100,100,100,{}
1056,SMOKIE,貍貓,633,9015,10019,537,80,15,30,100,250,20,1000,200,1,0,100,100,100,{}
1057,YOYO,溜溜猴,634,9016,10018,532,80,12,20,100,250,20,1000,200,1,0,100,100,100,{}
1063,LUNATIC,瘋兔,622,9004,10007,534,80,15,40,100,250,20,1500,200,0,0,100,100,100,{}
1077,POISON_SPORE,毒魔菇,631,9013,10017,537,80,20,20,100,250,20,1000,200,0,0,100,100,100,{}
1101,BAPHOMET_Jr,小巴風特,642,9024,10001,518,80,30,10,100,250,20,200,100,0,0,100,100,100,{}
1107,DESERT_WOLF_B,沙漠幼狼,628,9010,10003,537,80,10,40,100,250,20,1000,300,0,0,100,100,100,{}
1109,DEVIRUCHI,小惡魔,641,9023,10004,711,80,30,10,100,250,20,500,150,0,0,100,100,100,{}
1110,DOKEBI,土人,637,9019,10005,537,80,15,20,100,250,20,500,250,0,0,100,100,100,{}
1113,DROPS,土波利,620,9002,10013,508,80,15,40,100,250,20,1500,400,1,0,100,100,100,{}
1155,PETIT,畢帝特地龍,640,9022,10011,537,80,15,20,100,250,20,500,200,0,0,100,100,100,{}
1167,SAVAGE_BABE,小野豬,627,9009,10015,537,80,9,40,100,250,20,1500,400,0,0,100,100,100,{}
