//npc_monster.txt¢IAthena 2006/05/31 19:42:58 (JST)

//ª±¨ã¤ÀÃþ³õ(xmas_dun02.gat)
//xmas_dun02.gat,0,0,0,0	monster	²¢»æ¤H	1246,20,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	ª±¨ã¤h§L	1248,35,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	¨¸´cÂ§²°	1249,50,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	¦B¼ÉÃM¤h	1251,1,3600000,1800000,0
//xmas_dun02.gat,0,0,0,0	monster	ºñ»æ¤H	1265,20,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	¥d­ÛÄ_Ä_	1515,1,1800000,900000,0

//ª±¨ã¤u¼t­Ü®w(xmas_dun01.gat)
//xmas_dun01.gat,0,0,0,0	monster	ªi§Q	1002,10,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	ªiªi§Q	1031,20,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	ªi§Q¤§¤ý	1090,1,1800000,900000,0
xmas_dun01.gat,0,0,0,0	monster	¤Ñ¨Ïªi§Q	1096,1,3600000,1800000,0
//xmas_dun01.gat,0,0,0,0	monster	¤gªi§Q	1113,10,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	¦Bªi§Q	1242,20,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	²¢»æ¤H	1246,40,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	¨¸´cÂ§²°	1249,5,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	Å]ÆF«½«½	1250,1,900000,450000,0
//xmas_dun01.gat,0,0,0,0	monster	ºñ»æ¤H	1265,40,0,0,0

//«¸»æ«°­ì³¥(xmas_fild01.gat)
xmas_fild01.gat,0,0,0,0	monster	¦Bªi§Q	1242,35,0,0,0
xmas_fild01.gat,0,0,0,0	monster	³·ºµ	1243,20,0,0,0
xmas_fild01.gat,0,0,0,0	monster	¥d¨Ú	1252,1,3600000,1800000,0
//xmas_fild01.gat,0,0,0,0	monster	¥d­ÛÄ_Ä_	1515,1,1800000,900000,0

//§®°Ç¥§ ¤s¯ß 01(mjolnir_01.gat)
//mjolnir_01.gat,0,0,0,0	monster	§J·ç¦Ì	1018,20,0,0,0
//mjolnir_01.gat,311,271,25,25	monster	ÂÅ¯ó	1079,5,360000,180000,1
//mjolnir_01.gat,75,85,25,25	monster	ºñ¯ó	1080,5,180000,90000,1
//mjolnir_01.gat,78,219,25,25	monster	ºñ¯ó	1080,5,180000,90000,1
//mjolnir_01.gat,75,85,25,25	monster	¥ú¨~¯ó	1083,1,1800000,900000,1
//mjolnir_01.gat,78,219,25,25	monster	¥ú¨~¯ó	1083,1,1800000,900000,1
//mjolnir_01.gat,0,0,0,0	monster	¨ëç³ÂÎ	1103,40,0,0,0
//mjolnir_01.gat,0,0,0,0	monster	ªQ¹«	1104,70,0,0,0
//mjolnir_01.gat,0,0,0,0	monster	Áê§ÎÂÎ	1128,20,0,0,0
//mjolnir_01.gat,0,0,0,0	monster	¿]ÂÎ	1174,20,0,0,0

//§®°Ç¥§ ¤s¯ß 02(mjolnir_02.gat)
//mjolnir_02.gat,0,0,0,0	monster	¸Á§L	1004,30,0,0,0
//mjolnir_02.gat,0,0,0,0	monster	§J·ç¦Ì	1018,20,0,0,0
//mjolnir_02.gat,0,0,0,0	monster	ªiªi§Q	1031,10,0,0,0
//mjolnir_02.gat,122,195,0,0	monster	¬õ¯ó	1078,1,180000,90000,1
//mjolnir_02.gat,133,80,0,0	monster	¬õ¯ó	1078,1,180000,90000,1
//mjolnir_02.gat,156,254,0,0	monster	¬õ¯ó	1078,1,180000,90000,1
//mjolnir_02.gat,223,110,0,0	monster	¬õ¯ó	1078,1,180000,90000,1
//mjolnir_02.gat,254,155,0,0	monster	¬õ¯ó	1078,1,180000,90000,1
//mjolnir_02.gat,318,205,0,0	monster	¬õ¯ó	1078,1,180000,90000,1
//mjolnir_02.gat,112,268,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
//mjolnir_02.gat,188,192,10,10	monster	ÂÅ¯ó	1079,2,360000,180000,1
//mjolnir_02.gat,273,74,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
//mjolnir_02.gat,275,199,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
//mjolnir_02.gat,79,49,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
//mjolnir_02.gat,107,128,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
//mjolnir_02.gat,145,282,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
//mjolnir_02.gat,167,160,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
//mjolnir_02.gat,191,71,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
//mjolnir_02.gat,193,304,0,0	monster	ºñ¯ó	1080,1,180000,90000,1


//§®°Ç¥§ ¤s¯ß 04(mjolnir_04.gat)
mjolnir_04.gat,0,0,0,0	monster	¸Á§L	1004,70,0,0,0
mjolnir_04.gat,0,0,0,0	monster	ªiªi§Q	1031,10,0,0,0
mjolnir_04.gat,0,0,0,0	monster	¸Á¦Z	1059,1,7200000,3600000,0
mjolnir_04.gat,107,357,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,122,28,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,173,369,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,177,34,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,177,34,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,205,33,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,269,39,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,286,357,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,31,194,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,332,122,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,356,292,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,362,201,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,42,252,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,43,143,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,64,323,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,72,99,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,76,53,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_04.gat,200,200,30,30	monster	¥ú¨~¯ó	1083,3,1800000,900000,1
mjolnir_04.gat,0,0,0,0	monster	¦ã¦N¼Ú¸¼°G	1099,20,0,0,0
mjolnir_04.gat,0,0,0,0	monster	¾½¤Hªá	1118,30,0,0,0
mjolnir_04.gat,0,0,0,0	monster	Á®½¸	1139,20,0,0,0

//§®°Ç¥§ ¤s¯ß 05(mjolnir_05.gat)
mjolnir_05.gat,0,0,0,0	monster	ªiªi§Q	1031,10,0,0,0
mjolnir_05.gat,0,0,0,0	monster	¬õ¯ó	1078,10,180000,90000,1
mjolnir_05.gat,134,103,20,20	monster	ÂÅ¯ó	1079,3,360000,180000,1
mjolnir_05.gat,200,240,40,40	monster	ÂÅ¯ó	1079,3,360000,180000,1
